financial_year,report_year,group_name,previous_usd_mn,current_usd_mn,growth_pct,share_pct,report_month
2015-2016,2016,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,4283.47,4176.62,-2.49,1.1,March
2015-2016,2016,ELECTORONICS ITEMS,37540.31,40939.82,9.06,10.75,March
2015-2016,2016,MACHINERY,31340.19,32299.41,3.06,8.48,March
2015-2016,2016,OFFICE EQUIPMENTS,161.5,124.22,-23.08,0.03,March
2015-2016,2016,TRANSPORT EQUIPMENTS,15287.74,15394.27,0.7,4.04,March
2015-2016,2016,PROJECT GOODS,3631.43,2761.07,-23.97,0.72,March
2015-2016,2016,TEXTILES & ALLIED PRODUCTS,5512.44,5332.49,-3.26,1.4,March
2015-2016,2016,PETROLEUM CRUDE & PRODUCTS,138325.51,82944.47,-40.04,21.77,March
2015-2016,2016,OTHERS,11338.33,11975.46,5.62,3.14,March
2016-2017,2017,PLANTATION,895.75,841.22,-6.09,0.22,March
2016-2017,2017,AGRI & ALLIED PRODUCTS,20673.66,23210.67,12.27,6.04,March
2016-2017,2017,MARINE PRODUCTS,97.23,94.37,-2.94,0.02,March
2016-2017,2017,ORES & MINERALS,20684.03,21636.83,4.61,5.63,March
2016-2017,2017,LEATHER & LEATHER MANUFACTURES,1031.28,992.81,-3.73,0.26,March
2016-2017,2017,GEMS & JEWELLERY,56508.62,53738.63,-4.9,13.98,March
2016-2017,2017,SPORTS GOODS,221.01,224.19,1.44,0.06,March
2016-2017,2017,CHEMICALS & RELATED PRODUCTS,36888.21,33680.84,-8.69,8.76,March
2016-2017,2017,PLASTIC & RUBBER ARTICLES,13760.68,14019.63,1.88,3.65,March
2016-2017,2017,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,2438.51,2271.48,-6.85,0.59,March
2016-2017,2017,PAPER & RELATED PRODUCTS,7157.27,6993.65,-2.29,1.82,March
2016-2017,2017,BASE METALS,24703.68,21551.87,-12.76,5.61,March
2016-2017,2017,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,4176.62,4398.06,5.3,1.14,March
2016-2017,2017,ELECTORONICS ITEMS,40939.82,42878.89,4.74,11.16,March
2016-2017,2017,MACHINERY,32299.41,31820.14,-1.48,8.28,March
2016-2017,2017,OFFICE EQUIPMENTS,124.22,91.56,-26.29,0.02,March
2016-2017,2017,TRANSPORT EQUIPMENTS,15394.27,19560.2,27.06,5.09,March
2016-2017,2017,PROJECT GOODS,2761.07,2074.44,-24.87,0.54,March
2016-2017,2017,TEXTILES & ALLIED PRODUCTS,5332.49,5516.64,3.45,1.44,March
2016-2017,2017,PETROLEUM CRUDE & PRODUCTS,82944.47,86963.84,4.85,22.63,March
2016-2017,2017,OTHERS,11975.46,11797.05,-1.49,3.07,March
2017-2018,2018,PLANTATION,841.22,1039.28,23.54,0.22,March
2017-2018,2018,AGRI & ALLIED PRODUCTS,23210.67,22223.1,-4.25,4.77,March
2017-2018,2018,MARINE PRODUCTS,94.37,123.06,30.41,0.03,March
2017-2018,2018,ORES & MINERALS,21636.83,31743.71,46.71,6.82,March
2017-2018,2018,LEATHER & LEATHER MANUFACTURES,992.81,1056.6,6.43,0.23,March
2017-2018,2018,GEMS & JEWELLERY,53738.63,74668.31,38.95,16.04,March
2017-2018,2018,SPORTS GOODS,224.19,292.05,30.27,0.06,March
2017-2018,2018,CHEMICALS & RELATED PRODUCTS,33680.84,40392.72,19.93,8.68,March
2017-2018,2018,PLASTIC & RUBBER ARTICLES,14019.63,17038.02,21.53,3.66,March
2017-2018,2018,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,2271.48,2715.3,19.54,0.58,March
2017-2018,2018,PAPER & RELATED PRODUCTS,6993.65,8276.87,18.35,1.78,March
2017-2018,2018,BASE METALS,21551.87,27429.26,27.27,5.89,March
2017-2018,2018,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,4398.06,5340.29,21.42,1.15,March
2017-2018,2018,ELECTORONICS ITEMS,42878.89,52890.68,23.35,11.36,March
2017-2018,2018,MACHINERY,31820.14,37798.72,18.79,8.12,March
2017-2018,2018,OFFICE EQUIPMENTS,91.56,46.83,-48.86,0.01,March
2017-2018,2018,TRANSPORT EQUIPMENTS,19560.2,19175.01,-1.97,4.12,March
2017-2018,2018,PROJECT GOODS,2074.44,2077.61,0.15,0.45,March
2017-2018,2018,TEXTILES & ALLIED PRODUCTS,5516.64,6401.9,16.05,1.38,March
2017-2018,2018,PETROLEUM CRUDE & PRODUCTS,86963.84,108658.69,24.95,23.34,March
2017-2018,2018,OTHERS,11797.05,6192.98,-47.5,1.33,March
2018-2019,2019,PLANTATION,1039.28,1070.57,3.01,0.21,March
2018-2019,2019,AGRI & ALLIED PRODUCTS,22223.1,18568.41,-16.45,3.61,March
2018-2019,2019,MARINE PRODUCTS,123.06,155.7,26.52,0.03,March
2018-2019,2019,ORES & MINERALS,31743.71,33628.21,5.94,6.54,March
2018-2019,2019,LEATHER & LEATHER MANUFACTURES,1056.6,1093.33,3.48,0.21,March
2018-2019,2019,GEMS & JEWELLERY,74668.31,64678.83,-13.38,12.58,March
2018-2019,2019,SPORTS GOODS,292.05,332.03,13.69,0.06,March
2018-2019,2019,CHEMICALS & RELATED PRODUCTS,40392.72,47803.6,18.35,9.3,March
2018-2019,2019,PLASTIC & RUBBER ARTICLES,17038.02,18469.3,8.4,3.59,March
2018-2019,2019,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,2715.3,2790.23,2.76,0.54,March
2018-2019,2019,PAPER & RELATED PRODUCTS,8276.87,8761.74,5.86,1.7,March
2018-2019,2019,BASE METALS,27429.26,32389.68,18.08,6.3,March
2018-2019,2019,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,5340.29,5895.05,10.39,1.15,March
2018-2019,2019,ELECTORONICS ITEMS,52890.68,57377.29,8.48,11.16,March
2018-2019,2019,MACHINERY,37798.72,44146.46,16.79,8.59,March
2018-2019,2019,OFFICE EQUIPMENTS,46.83,52.72,12.59,0.01,March
2018-2019,2019,TRANSPORT EQUIPMENTS,19175.01,20679.64,7.85,4.02,March
2018-2019,2019,PROJECT GOODS,2077.61,2375.57,14.34,0.46,March
2018-2019,2019,TEXTILES & ALLIED PRODUCTS,6401.9,6759.84,5.59,1.31,March
2018-2019,2019,PETROLEUM CRUDE & PRODUCTS,108658.69,140920.64,29.69,27.41,March
2018-2019,2019,OTHERS,6192.98,6129.59,-1.02,1.19,March
2019-2020,2020,PLANTATION,1070.57,890.64,-16.81,0.19,March
2019-2020,2020,AGRI & ALLIED PRODUCTS,18568.41,19022.05,2.44,4.01,March
2019-2020,2020,MARINE PRODUCTS,155.7,181.93,16.85,0.04,March
2019-2020,2020,ORES & MINERALS,33628.21,27357.21,-18.65,5.76,March
2019-2020,2020,LEATHER & LEATHER MANUFACTURES,1093.33,1045.27,-4.4,0.22,March
2019-2020,2020,GEMS & JEWELLERY,64678.83,54453.82,-15.81,11.47,March
2019-2020,2020,SPORTS GOODS,332.03,276.12,-16.84,0.06,March
2019-2020,2020,CHEMICALS & RELATED PRODUCTS,47803.6,44305.72,-7.32,9.33,March
2019-2020,2020,PLASTIC & RUBBER ARTICLES,18469.3,17082.78,-7.51,3.6,March
2019-2020,2020,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,2790.23,2594.91,-7,0.55,March
2019-2020,2020,PAPER & RELATED PRODUCTS,8761.74,7794.5,-11.04,1.64,March
2019-2020,2020,BASE METALS,32389.68,28508.15,-11.98,6.01,March
2019-2020,2020,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,5895.05,5728.69,-2.82,1.21,March
2019-2020,2020,ELECTORONICS ITEMS,57377.29,54397.94,-5.19,11.46,March
2019-2020,2020,MACHINERY,44146.46,43304.23,-1.91,9.12,March
2019-2020,2020,OFFICE EQUIPMENTS,52.72,88.29,67.45,0.02,March
2019-2020,2020,TRANSPORT EQUIPMENTS,20679.64,21736.42,5.11,4.58,March
2019-2020,2020,PROJECT GOODS,2375.57,2025.51,-14.74,0.43,March
2019-2020,2020,TEXTILES & ALLIED PRODUCTS,6759.84,7504.51,11.02,1.58,March
2019-2020,2020,PETROLEUM CRUDE & PRODUCTS,140920.64,130550.31,-7.36,27.5,March
2019-2020,2020,OTHERS,6129.59,5860.29,-4.39,1.23,March
2020-2021,2021,PLANTATION,890.64,834.67,-6.28,0.21,March
2020-2021,2021,AGRI & ALLIED PRODUCTS,19022.05,19970.16,4.98,5.06,March
2020-2021,2021,MARINE PRODUCTS,181.93,225.63,24.02,0.06,March
2020-2021,2021,ORES & MINERALS,27357.21,20857.05,-23.76,5.29,March
2020-2021,2021,LEATHER & LEATHER MANUFACTURES,1045.27,596.99,-42.89,0.15,March
2020-2021,2021,GEMS & JEWELLERY,54453.82,55179.99,1.33,13.99,March
2020-2021,2021,SPORTS GOODS,276.12,265.02,-4.02,0.07,March
2020-2021,2021,CHEMICALS & RELATED PRODUCTS,44305.72,44907.23,1.36,11.39,March
2020-2021,2021,PLASTIC & RUBBER ARTICLES,17082.78,15835.98,-7.3,4.01,March
2020-2021,2021,ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE,2594.91,2208.38,-14.9,0.56,March
2020-2021,2021,PAPER & RELATED PRODUCTS,7794.5,5836.49,-25.12,1.48,March
2020-2021,2021,BASE METALS,28508.15,23752.53,-16.68,6.02,March
2020-2021,2021,OPTICAL, MEDICAL & SURGICAL INSTRUMENTS,5728.69,5085.77,-11.22,1.29,March
2020-2021,2021,ELECTORONICS ITEMS,54397.94,54287.92,-0.2,13.76,March
2020-2021,2021,MACHINERY,43304.23,34349.06,-20.68,8.71,March
2020-2021,2021,OFFICE EQUIPMENTS,88.29,81.61,-7.56,0.02,March
2020-2021,2021,TRANSPORT EQUIPMENTS,21736.42,15369.2,-29.29,3.9,March
2020-2021,2021,PROJECT GOODS,2025.51,1498.94,-26,0.38,March
2020-2021,2021,TEXTILES & ALLIED PRODUCTS,7504.51,5297.99,-29.4,1.34,March
2020-2021,2021,PETROLEUM CRUDE & PRODUCTS,130550.31,82683.88,-36.67,20.96,March
2020-2021,2021,OTHERS,5860.29,5311.39,-9.37,1.35,March
2021-2022,2022,PLANTATION,834.67,1237.94,48.32,0.2,March
2021-2022,2022,AGRI & ALLIED PRODUCTS,19970.16,30008.27,50.27,4.89,March
2021-2022,2022,MARINE PRODUCTS,225.63,223.91,-0.76,0.04,March
2021-2022,2022,ORES & MINERALS,20857.05,40829.53,95.76,6.66,March
2021-2022,2022,LEATHER & LEATHER MANUFACTURES,596.99,850.41,42.45,0.14,March
2021-2022,2022,GEMS & JEWELLERY,55179.99,81635.5,47.94,13.32,March
2021-2022,2022,SPORTS GOODS,265.02,334.94,26.38,0.05,March
2021-2022,2022,CHEMICALS & RELATED PRODUCTS,44907.23,67636.59,50.61,11.03,March
2021-2022,2022,PLASTIC & RUBBER ARTICLES,15835.98,23407.28,47.81,3.82,March
