hscode,hsdesc,latest_export_usd_mn,growth_5yr_pct,cagr_pct,volatility_pct,momentum_score
6406,"PRTS OF FTWEAR RMVBL IN SOLES,HEEL CUSHNS AND SMLR ARTCLS;GAITRS LEGGINGS AND SMLR      ARTICLES, AND PRTS THEREOF",271.61,0.72,0.18,8.97,47.53
3914,"ION EXCHANGERS BASED ON POLYMERS OF       HEADINGS 3901 TO 3913, IN PRIMARY FORMS",93.17,21.71,5.03,7.24,47.53
1902,"PASTA, WHETHER OR NOT COOKED OR STUFFED ( WITH MEAT OR OTHER SUBSTANCES) OR         OTHERWISE PREPARED, SUCH AS SPAGHETT",62.95,113.49,20.88,22.84,47.47
7312,"STRANDED WIRE, ROPES, CABLES, PLAITED     BANDS, SLINGS AND THE LIKE, OF IRON OR    STEEL, NOT ELECTRICALLY",179.06,14.42,3.43,10.97,47.30
1604,PREPARED OR PRESERVED FISH; CAVIAR AND    CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS,92.46,38.86,8.55,14.09,47.19
9503,OTHR TOYS;RDCD,200.89,13.47,3.21,12.05,47.14
8450,HOUSEHOLD OR LAUNDRY,104.46,40.49,8.87,16.94,47.10
3504,"PEPTONES AND THEIR DERIVATIVES; OTHER     PROTEIN SUBSTANCES AND THEIR DERIVATIVES, NOT ELSEWHERE SPECIFIED OR INCLUDED;",50.33,126.46,22.67,17.94,47.10
2304,OIL,581.41,5.25,1.29,33.81,46.90
7104,"SYNTHETIC OR RECONSTRUCTED PRECIOUS OR    SEMIPRECIOUS STONES, WHETHER OR NOT WORKED OR GRADED BUT NOT STRUNG, MOUNTED O",1227.98,-14.90,-3.95,17.25,46.89
1008,"BUCKWHEAT, MILLET AND CANARY SEED; OTHER  CEREALS",67.20,47.15,10.14,11.91,46.79
6110,"JERSEYS, PULLOVERS, CARDIGANS, WAISTCOATS AND SIMILAR ARTICLES, KNITTED OR CROCHETED",430.21,-1.05,-0.26,14.27,46.59
7412,"COPR TUBE/PIPE FITNG(CUPLNGS,ELBOWS,SLEVS)",78.21,34.72,7.74,10.21,46.57
8432,"AGRCLTRL,HRTCLTRL/FRSTRY MCHNRY FR SOIL   PRPRTION/CLTVTN;LAWN/SPRTS",235.20,4.97,1.22,10.68,46.49
6301,BLANKETS AND TRAVELLING RUGS,214.48,1.43,0.35,8.25,46.41
8462,MCHN,72.01,88.68,17.20,26.32,46.38
3815,"REACTION INITIATORS, REACTION ACCELERATORS AND CATAL PREPARATIONS, NOT ELSEWHERE    SPECIFIED OR INCLUDED",200.29,4.82,1.18,8.94,46.35
2909,"ETHER PEROXIDES, ACETAL, HEMIACETAL PEROXIDES (W/N CHMCLY DFND)THR HALGNTD SLPHNTD  NITRATED/NITROSATED DRVTVS",584.22,-10.05,-2.61,13.71,46.26
8105,"COBLT MATTS AND OTHR INTRMDT PRDCTS OF COBLTMETTLRGY,COBLT AND ARTCLS INCL WSTE AND SCRP",63.51,430.95,51.80,124.23,46.26
2845,"ISOTOPES OTHER THAN THOSE OF HEADING 2844; COMPOUNDS, INORGANIC OR ORGANIC, OF SUCH ISOTOPES, WHETHER OR NOT CHEMICALLY",57.62,6998.32,190.26,737.29,46.25
0304,"FISH FILLETS AND OTHER FISH MEAT (WHETHER OR NOT MINCED), FRESH, CHILLED OR FROZEN",296.20,3.28,0.81,13.64,46.23
6910,CERMC SINKS WASH BASINS AND SMLR SNTRY FXTRS,177.92,1.01,0.25,6.10,46.14
2710,PETROLEUM OILSAND OILS OBTND FRM BITMNS     MNRLOTHER THAN CRUDE PRPN NES;CNTNG70% OR MOREBY WEIGHT OF THESE OILS,52973.29,-20.57,-5.59,27.53,46.09
